date,title,url,source,language,event_type,event_category,base_impact_score,affects,asset,relevance_score,matched_events,sentiment,confidence,prob_negative,prob_positive
2026-01-15 04:45:00,EAM Jaishankar US visit in the works following talks with Marco Rubio,https://www.moneycontrol.com/world/eam-jaishankar-s-us-visit-in-the-works-following-talks-with-marco-rubio-article-13773823.html,moneycontrol.com,English,trade_policy,macro,8,,APPLE,9.6,technology,Positive,0.944973886013031,0.055026084184646606,0.944973886013031
2026-01-16 20:15:00,"Jaishankar - Rubio discussed a range of bilateral issues including trade , defence and energy : MEA",https://aninews.in/news/world/asia/jaishankar-rubio-discussed-a-range-of-bilateral-issues-including-trade-defence-and-energy-mea20260116235139/,aninews.in,English,trade_policy,macro,8,,APPLE,9.6,technology,Positive,0.8508307337760925,0.14916928112506866,0.8508307337760925
2026-01-13 07:00:00,"US , Taiwan near deal to lower tariffs , boost TSMC investment : report",https://www.taipeitimes.com/News/biz/archives/2026/01/13/2003850535,taipeitimes.com,English,trade_policy,macro,8,,APPLE,28.2,"geopolitical_tensions, technology",Positive,0.7651101350784302,0.23488987982273102,0.7651101350784302
2026-01-05 02:15:00,Trump threatens tariff hike on India if it doesnt cooperate on Russian oil,https://www.moneycontrol.com/world/trump-threatens-tariff-hike-on-india-if-it-doesn-t-cooperate-on-russian-oil-article-13755968.html,moneycontrol.com,English,trade_policy,macro,8,,SP500,10.0,monetary_policy,Positive,0.9928754568099976,0.007124558091163635,0.9928754568099976
2026-01-14 06:30:00,"Rubio , EAM Jaishankar talk nuclear law , trade , Indo - Pacific - Indian Defence Research Wing",https://idrw.org/rubio-eam-jaishankar-talk-nuclear-law-trade-indo-pacific/,idrw.org,English,trade_policy,macro,8,,APPLE,9.6,technology,,,,
2026-01-08 03:30:00,Christopher Luxon working from home as election year gets underway,https://www.nzherald.co.nz/nz/christopher-luxon-working-from-home-as-election-year-gets-underway/HJQYBJU4BNH67AI7Q6W6PDPJII/,nzherald.co.nz,English,trade_policy,macro,8,,SP500,7.0,political_events,,,,
2026-01-14 19:00:00,Efforts for EAM S Jaishankar US visit begin after Marco Rubio talks,https://economictimes.indiatimes.com/news/india/efforts-for-eam-s-jaishankars-us-visit-begin-after-marco-rubio-talks/articleshow/126533129.cms,economictimes.indiatimes.com,English,trade_policy,macro,8,,APPLE,9.6,technology,,,,
2026-01-08 11:30:00,Venezuela Devlet Petrol Şirketi : Ham Petrol Satışı İçin ABD ile Görüşüyoruz,https://www.haberler.com/guncel/venezuela-ve-abd-arasindaki-petrol-muzakereleri-basladi-19439224-haberi/,haberler.com,Turkish,trade_policy,macro,8,,TESLA,9.6,automotive,,,,
2026-01-16 02:00:00,"US lowers Taiwan tariff to 15 %, Cabinet confirms",https://www.taipeitimes.com/News/front/archives/2026/01/16/2003850714,taipeitimes.com,English,trade_policy,macro,8,,APPLE,18.6,"geopolitical_tensions, technology",,,,
2026-01-16 04:30:00,U . S . lowers tariff on Taiwanese goods to 15 % in trade deal,https://focustaiwan.tw:443/business/202601160002,focustaiwan.tw,English,trade_policy,macro,8,,APPLE,18.6,"geopolitical_tensions, technology",,,,
