title,source,published_at,sentiment,confidence,prob_negative,prob_positive,url
The Real Reason Netflix CEO Spent $100 Million on a Popular Show Without Permission,International Business Times,2026-01-08T11:23:31Z,Negative,0.9742553234100342,0.9742553234100342,0.02574475109577179,https://www.ibtimes.com/real-reason-netflix-ceo-spent-100-million-popular-show-without-permission-3794687
"Although Not Content Complete Yet, Grand Theft Auto VI’s Fall 2026 Release Window is ‘a More Real Release Window Than Fall 2025’",Wccftech,2026-01-08T11:22:11Z,Negative,0.9581473469734192,0.9581473469734192,0.04185258969664574,https://wccftech.com/although-not-content-complete-yet-fall-2026-is-a-more-real-release-window-than-fall-2025-for-grand-theft-auto-vi/
"How to use AI skills for career progress: Techie with Amazon, Meta and Microsoft experience lays out a clear blueprint",The Times of India,2026-01-08T11:21:46Z,Positive,0.9498018622398376,0.05019821971654892,0.9498018622398376,https://economictimes.indiatimes.com/magazines/panache/how-to-use-ai-skills-for-career-progress-techie-with-amazon-meta-and-microsoft-experience-lays-out-a-clear-blueprint/articleshow/126413499.cms
The iPhone 21 Long Game: Why Apple is Making Fans Wait Until 2028 for 200MP,International Business Times,2026-01-08T11:21:26Z,Negative,0.9653439521789551,0.9653439521789551,0.034656066447496414,https://www.ibtimes.com/iphone-21-long-game-why-apple-making-fans-wait-until-2028-200mp-3794677
Skullcandy's new earbuds put AI in your ears –but there's a catch,TechRadar,2026-01-08T11:20:14Z,Positive,0.5834782719612122,0.41652166843414307,0.5834782719612122,https://www.techradar.com/audio/earbuds-airpods/skullcandys-new-earbuds-put-ai-in-your-ears-but-theres-a-catch
OpenAI launches ChatGPT Health portal,pharmaphorum,2026-01-08T11:19:21Z,Positive,0.9914563298225403,0.008543647825717926,0.9914563298225403,https://pharmaphorum.com/news/openai-launches-chatgpt-health-portal
"How can we teach about AI in the arts, humanities and sciences? Research seminar series 2026",Raspberrypi.org,2026-01-08T11:17:29Z,Negative,0.5971208214759827,0.5971208214759827,0.4028792083263397,https://www.raspberrypi.org/blog/how-can-we-teach-about-ai-in-the-arts-humanities-and-sciences-research-seminar-series-2026/
5 Essential Open-Source Apps Every Android User Should Try,BGR,2026-01-08T11:17:00Z,Positive,0.7836325168609619,0.21636752784252167,0.7836325168609619,https://www.bgr.com/2066056/essential-open-source-android-apps/
"Wolfenstein 3 is reportedly in the works at Machine Games, possibly alongside a Rainbow Six Siege-ish multiplayer thing",Rock Paper Shotgun,2026-01-08T11:16:01Z,Negative,0.807953953742981,0.807953953742981,0.19204598665237427,https://www.rockpapershotgun.com/wolfenstein-3-is-reportedly-in-the-works-at-machine-games-possibly-alongside-a-rainbow-six-siege-ish-multiplayer-thing
ChatGPT Health is a new space for medical questions that works with your health data — but OpenAI insists it's not designed to replace your doctor,TechRadar,2026-01-08T11:15:58Z,Negative,0.9902876615524292,0.9902876615524292,0.009712370112538338,https://www.techradar.com/ai-platforms-assistants/chatgpt/chatgpt-health-is-a-new-space-for-medical-questions-that-works-with-your-health-data-but-openai-insists-its-not-designed-to-replace-your-doctor
"Dify Makes Self-Hosted LLM Development Simple : Swap Models, Add RAG & Launch Faster",Geeky Gadgets,2026-01-08T11:15:09Z,Positive,0.7431119680404663,0.2568880617618561,0.7431119680404663,https://www.geeky-gadgets.com/dify-llm-platform/
"Automated Machine Learning Market to Grow at a Robust CAGR of 45.90%, Crossing USD 35.5 Billion by 2032 Amid Rapid Enterprise AI Adoption | AnalystView Market Insights",GlobeNewswire,2026-01-08T11:15:00Z,Positive,0.9975231289863586,0.002476875903084874,0.9975231289863586,https://www.globenewswire.com/news-release/2026/01/08/3215160/0/en/Automated-Machine-Learning-Market-to-Grow-at-a-Robust-CAGR-of-45-90-Crossing-USD-35-5-Billion-by-2032-Amid-Rapid-Enterprise-AI-Adoption-AnalystView-Market-Insights.html
"How are you feeling about the prospect of a new, long-term deal for Lennart Karl at Bayern Munich?",Bavarian Football Works,2026-01-08T11:15:00Z,Positive,0.802294909954071,0.19770504534244537,0.802294909954071,https://www.bavarianfootballworks.com/question-of-the-day/158296/how-are-you-feeling-about-the-prospect-of-a-new-long-term-deal-for-lennart-karl-at-bayern-munich
Apple’s most affordable 13-inch M5 iPad Pro hits Amazon low at $150 off today,9to5Toys,2026-01-08T11:14:17Z,Negative,0.9679893255233765,0.9679893255233765,0.032010629773139954,http://9to5toys.com/2026/01/08/apple-most-affordable-13-inch-m5-ipad-pro/
Champions Cup Round 3: All You Need To Know,RTE,2026-01-08T11:13:55Z,Negative,0.8588941693305969,0.8588941693305969,0.14110584557056427,https://www.rte.ie/sport/rugby/2026/0108/1552095-champions-cup-round-3-all-you-need-to-know/
